"geografie","geslacht","migratieachtergrond","huishouden","bins","opleiding_ouders","uitkomst","mean","parents_income","N","type","uitkomst_NL","subgroep","sample","sd"
"Nederland","Totaal","Marokko","Eenoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Marokko","Eenoudergezin","Totaal","hbo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Marokko","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.711216476515039,37.0457369733665,6749,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Marokko","Tweeoudergezin","Totaal","wo","c00_infant_mortality",0.932203389830509,97.7720258938293,2360,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Marokko","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.555555555555556,82.3207448655523,6300,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Marokko","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.870722210264739,56.6504672041142,51107,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Suriname","Totaal","Totaal","wo","c00_infant_mortality",0.572901747350329,116.158361665452,3491,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Suriname","Totaal","Totaal","hbo","c00_infant_mortality",0.713973480984992,87.5127105954291,6863,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Suriname","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.904396621198102,57.9261302280777,33503,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Suriname","Eenoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Suriname","Eenoudergezin","Totaal","hbo","c00_infant_mortality",0.8110300081103,57.8235360004157,1233,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Suriname","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.877591163564836,39.8640146790194,13218,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Suriname","Tweeoudergezin","Totaal","wo","c00_infant_mortality",0.458565345561743,121.170659188176,3053,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Suriname","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.605736682700873,94.1256218597221,5613,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Suriname","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.761141712568853,70.2260748344773,19970,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Nederlandse Antillen","Totaal","Totaal","wo","c00_infant_mortality",0.477326968973747,117.933392664596,2095,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Nederlandse Antillen","Totaal","Totaal","hbo","c00_infant_mortality",0.595069424766223,86.7798461461142,3529,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Nederlandse Antillen","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.762631077216397,47.7104914528539,18882,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Nederlandse Antillen","Eenoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Nederlandse Antillen","Eenoudergezin","Totaal","hbo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Nederlandse Antillen","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.65139001977434,33.2323069121241,8597,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Nederlandse Antillen","Tweeoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Nederlandse Antillen","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.530679933665008,92.5201908843857,3015,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Nederlandse Antillen","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.705274659779477,60.503329894958,10067,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Wel migratieachtergrond","Totaal","Totaal","wo","c00_infant_mortality",0.432607005442475,116.180578991348,50161,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Wel migratieachtergrond","Totaal","Totaal","hbo","c00_infant_mortality",0.492323826725318,89.7538558024603,68654,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Wel migratieachtergrond","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.784243227756368,61.00825868697,356012,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Wel migratieachtergrond","Eenoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Wel migratieachtergrond","Eenoudergezin","Totaal","hbo","c00_infant_mortality",0.600343053173242,56.0545263685853,5830,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Wel migratieachtergrond","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.791564792176039,36.7489870288555,65440,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Wel migratieachtergrond","Tweeoudergezin","Totaal","wo","c00_infant_mortality",0.423665347170215,119.362625238698,46735,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Wel migratieachtergrond","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.467006694293911,92.9102699066997,62740,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Wel migratieachtergrond","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.731895223420647,66.7438603631999,288156,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Totaal","Totaal","Totaal","wo","c00_infant_mortality",0.441236691236691,126.37095026251,97680,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Totaal","Totaal","Totaal","hbo","c00_infant_mortality",0.503604336345303,98.4392760816916,179506,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Totaal","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.749214335743589,71.1284379072529,489713,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Totaal","Eenoudergezin","Totaal","wo","c00_infant_mortality",0.511639805576874,82.1689355500823,3909,"parents_edu","Zuigelingensterfte",NA,NA,NA
